sensor_id,seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z,gx_est,gy_est,gz_est,g_norm_est
2,125892,1259325730,98.8213311,2014,1916,2247,1731,1655,1916,0.00145614035087722,0.000140350877193214,8.77192982458534e-05,0.00146551621126022
2,125893,1259335731,98.8224006,2011,1910,2245,1731,1658,1915,0.00145614035087722,0.0101403508771932,-0.00324561403508748,0.0107462119418334
1,135280,1353252834,98.8348182,1966,1014,0,1754,982,142,0.425962199312715,2.8,0,2.83221535114181
2,125894,1259345731,98.8362465,2007,1916,2243,1732,1653,1917,0.00478947368421056,-0.00652631578947345,0.00342105263157919,0.00878837055794252
1,135281,1353262834,98.8376184,1968,999,0,1760,968,142,0.445962199312715,2.75333333333333,0,2.78921614932588
2,125895,1259355731,98.8385804,2013,1914,2241,1730,1655,1918,-0.00187719298245611,0.000140350877193214,0.00675438596491252,0.00701179589157575
1,135282,1353272834,98.8504356,1963,977,0,1754,944,142,0.425962199312715,2.67333333333333,0,2.70705650224639
1,135283,1353282835,98.8516789,1965,976,0,1755,944,142,0.429295532646048,2.67333333333333,0,2.70758301173962
2,125896,1259365732,98.8526003,2011,1918,2245,1730,1651,1919,-0.00187719298245611,-0.0131929824561401,0.0100877192982459,0.0167134891695781
2,125897,1259375732,98.8665698,2005,1917,2247,1730,1651,1918,-0.00187719298245611,-0.0131929824561401,0.00675438596491252,0.0149398918786051
1,135284,1353292835,98.8676829,1967,971,0,1754,938,142,0.425962199312715,2.65333333333333,0,2.68730749506287
2,125898,1259385730,98.8686261,2009,1914,2250,1731,1655,1918,0.00145614035087722,0.000140350877193214,0.00675438596491252,0.0069109892818025
1,135285,1353302838,98.8823795,1949,970,0,1754,943,142,0.425962199312715,2.67,0,2.70376474480368
2,125899,1259395731,98.8835532,2011,1913,2247,1730,1654,1916,-0.00187719298245611,-0.00319298245614012,8.77192982458534e-05,0.00370495413384374
1,135286,1353312834,98.8844799,1959,970,0,1747,938,142,0.402628865979382,2.65333333333333,0,2.68370784205316
2,125900,1259405730,98.8855445,2006,1907,2243,1732,1655,1916,0.00478947368421056,0.000140350877193214,8.77192982458534e-05,0.00479233254436283
1,135287,1353322836,98.8978677,1954,973,0,1754,942,142,0.425962199312715,2.66666666666667,0,2.70047308935942
2,125901,1259415729,98.8990638,2012,1913,2246,1731,1655,1918,0.00145614035087722,0.000140350877193214,0.00675438596491252,0.0069109892818025
1,135288,1353332834,98.9000282,1958,974,0,1754,938,142,0.425962199312715,2.65333333333333,0,2.68730749506287
2,125902,1259425732,98.9629109,2006,1907,2247,1731,1655,1915,0.00145614035087722,0.000140350877193214,-0.00324561403508748,0.0035600637009664
1,135289,1353342835,98.9640243,1958,973,0,1751,941,142,0.415962199312715,2.66333333333333,0,2.69562033597121
2,125904,1259445731,98.965049,2014,1916,2247,1729,1652,1912,-0.00521052631578944,-0.00985964912280679,-0.0132456140350875,0.0173149806953085
1,135291,1353362834,98.9659947,1963,978,0,1753,943,142,0.422628865979382,2.67,0,2.70324160192148
2,125905,1259455731,98.966882,2010,1917,2245,1730,1655,1915,-0.00187719298245611,0.000140350877193214,-0.00324561403508748,0.00375200777276223
1,135292,1353372835,98.9676827,1958,976,0,1755,943,142,0.429295532646048,2.67,0,2.70429189518252
2,125906,1259465730,98.9685274,2010,1909,2241,1730,1656,1919,-0.00187719298245611,0.00347368421052655,0.0100877192982459,0.0108329320189894
1,135293,1353382835,98.969455,1955,972,0,1754,942,142,0.425962199312715,2.66666666666667,0,2.70047308935942
2,125907,1259475731,98.9704315,2013,1919,2246,1731,1655,1917,0.00145614035087722,0.000140350877193214,0.00342105263157919,0.00372070479858543
1,135294,1353392835,98.9714802,1965,989,0,1756,949,142,0.432628865979382,2.69,0,2.72456744010469
1,135295,1353402835,98.9758178,1968,1011,0,1757,975,142,0.435962199312715,2.77666666666667,0,2.8106833363094
2,125909,1259495731,98.9770546,2014,1911,2245,1734,1655,1913,0.0114561403508772,0.000140350877193214,-0.00991228070175415,0.0151497907186236
1,135296,1353412843,98.9911941,1963,1014,0,1755,971,142,0.429295532646048,2.76333333333333,0,2.79648096104032
2,125911,1259515730,99.0074356,2010,1911,2246,1730,1658,1919,-0.00187719298245611,0.0101403508771932,0.0100877192982459,0.0144261100108857
1,135298,1353432834,99.0089186,1968,1022,0,1758,979,142,0.439295532646048,2.79,0,2.82437259670228
2,125912,1259525732,99.0101552,2011,1913,2243,1734,1658,1918,0.0114561403508772,0.0101403508771932,0.00675438596491252,0.0167239827019343
1,135299,1353442835,99.0229293,1968,1023,0,1757,982,142,0.435962199312715,2.8,0,2.83373658606963
2,125913,1259535730,99.0240643,2012,1914,2252,1730,1654,1912,-0.00187719298245611,-0.00319298245614012,-0.0132456140350875,0.0137537370058144
1,135300,1353452834,99.0251563,1968,1023,0,1757,978,142,0.435962199312715,2.78666666666667,0,2.82056273646602
2,125914,1259545730,99.0383095,2006,1915,2243,1731,1658,1915,0.00145614035087722,0.0101403508771932,-0.00324561403508748,0.0107462119418334
1,135301,1353462834,99.0394309,1968,989,0,1750,952,142,0.412628865979382,2.7,0,2.73134812520108
2,125915,1259555730,99.0405023,2013,1911,2240,1731,1654,1915,0.00145614035087722,-0.00319298245614012,-0.00324561403508748,0.00478011424041605
1,135302,1353472834,99.053119,1955,975,0,1754,940,142,0.425962199312715,2.66,0,2.69389008596181
2,125916,1259565730,99.0546829,2003,1914,2249,1733,1655,1912,0.00812280701754389,0.000140350877193214,-0.0132456140350875,0.0155385322144498
1,135303,1353482835,99.0560116,1959,976,0,1756,943,142,0.432628865979382,2.67,0,2.70482305071489
2,125917,1259575730,99.0569408,2009,1915,2246,1730,1655,1915,-0.00187719298245611,0.000140350877193214,-0.00324561403508748,0.00375200777276223
1,135304,1353492835,99.0686924,1960,974,0,1755,945,142,0.429295532646048,2.67666666666667,0,2.71087423146008
