seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z,gx_est,gy_est,gz_est,g_norm_est
79331,793714747,48.913676,3237,1903,0,2740,1701,142,-1.21965095986038,-0.0265794066317623,0,1.21994054311891
79332,793724747,48.9286067,3209,1894,0,2722,1693,142,-1.27965095986038,-0.053246073298429,0,1.2807582611068
79333,793734746,48.9294584,3207,1891,0,2722,1695,142,-1.27965095986038,-0.0465794066317623,0,1.28049842647063
79334,793744747,48.9433357,3269,1891,0,2759,1700,142,-1.15631762652705,-0.0299127399650956,0,1.15670446762748
79335,793754747,48.958922,3205,1883,0,2719,1687,142,-1.28965095986038,-0.073246073298429,0,1.29172930040409
79336,793764746,48.9596698,3263,1824,0,2752,1640,142,-1.17965095986038,-0.229912739965096,0,1.20184701817568
79337,793774746,48.9743897,2689,1300,0,2357,1224,142,-2.49631762652705,-1.61657940663176,0,2.97404281584101
79338,793784746,48.9749631,2874,1728,0,2507,1559,142,-1.99631762652705,-0.499912739965096,0,2.05795938093102
79339,793794746,48.9903604,3066,1840,0,2631,1651,142,-1.58298429319372,-0.193246073298429,0,1.59473612781026
79340,793804747,48.994701,2943,1829,0,2543,1637,142,-1.87631762652705,-0.239912739965096,0,1.89159349713771
79341,793814746,49.0952517,2992,1967,0,2588,1744,142,-1.72631762652705,0.116753926701571,0,1.73026125976924
79343,793834746,49.096229,3018,1734,0,2594,1566,142,-1.70631762652705,-0.476579406631762,0,1.77162292077699
79344,793844746,49.097161,3344,1486,0,2796,1364,142,-1.03298429319372,-1.1499127399651,0,1.54575413941511
79345,793854747,49.0980781,3313,1874,0,2785,1681,142,-1.06965095986038,-0.093246073298429,0,1.07370759805257
79346,793864746,49.0986924,3536,1803,0,2899,1626,142,-0.689650959860384,-0.276579406631762,0,0.743044153875883
79347,793874746,49.0990942,3449,1872,0,2855,1680,142,-0.836317626527051,-0.0965794066317623,0,0.841875735619683
79348,793884746,49.099485,3439,1926,0,2849,1726,142,-0.856317626527051,0.056753926701571,0,0.858196297881183
79349,793894747,49.1003128,3404,1631,0,2829,1480,142,-0.922984293193717,-0.763246073298429,0,1.19768300225384
79350,793904746,49.1143827,3453,1857,0,2850,1671,142,-0.852984293193717,-0.126579406631762,0,0.862325084071219
79351,793914746,49.1149734,3465,1840,0,2863,1653,142,-0.809650959860384,-0.186579406631762,0,0.830870959765656
79352,793924747,49.1154409,3423,1808,0,2834,1624,142,-0.906317626527051,-0.283246073298429,0,0.949547249057468
79353,793934747,49.1317045,3433,1811,0,2850,1635,142,-0.852984293193717,-0.246579406631762,0,0.887909684714643
79354,793944746,49.1468804,3453,1837,0,2852,1643,142,-0.846317626527051,-0.219912739965096,0,0.87442274568388
79356,793964746,49.1617447,3470,1842,0,2867,1655,142,-0.796317626527051,-0.179912739965096,0,0.816388606191576
79357,793974747,49.1783858,3472,1860,0,2866,1666,142,-0.799650959860384,-0.143246073298429,0,0.812379895812946
79358,793984747,49.1791253,3467,1862,0,2864,1674,142,-0.806317626527051,-0.116579406631762,0,0.814701707926791
79359,793994746,49.1941416,3455,1872,0,2859,1678,142,-0.822984293193717,-0.103246073298429,0,0.829435288913552
79361,794014746,49.3053673,3457,1882,0,2855,1682,142,-0.836317626527051,-0.0899127399650956,0,0.841137012173326
79362,794024747,49.3060496,3451,1889,0,2855,1693,142,-0.836317626527051,-0.053246073298429,0,0.838010928784071
79363,794034747,49.3064918,3447,1897,0,2844,1698,142,-0.872984293193717,-0.0365794066317623,0,0.873750324264584
79364,794044746,49.3069189,3442,1902,0,2852,1705,142,-0.846317626527051,-0.013246073298429,0,0.846421280113046
79365,794054747,49.3075736,3444,1908,0,2855,1709,142,-0.836317626527051,8.72600349043751e-05,0,0.836317631079336
79367,794074746,49.3081766,3451,1919,0,2852,1720,142,-0.846317626527051,0.036753926701571,0,0.847115326327157
79368,794084747,49.308693,3454,1926,0,2863,1718,142,-0.809650959860384,0.0300872600349044,0,0.81020980000198
79369,794094746,49.3092073,3456,1925,0,2850,1723,142,-0.852984293193717,0.046753926701571,0,0.854264674499187
79370,794104746,49.3097472,3442,1922,0,2854,1713,142,-0.839650959860384,0.0134205933682377,0,0.839758207295898
79371,794114747,49.3191487,3457,1919,0,2857,1714,142,-0.829650959860384,0.016753926701571,0,0.829820106563572
79372,794124747,49.3200928,3449,1907,0,2856,1709,142,-0.832984293193717,8.72600349043751e-05,0,0.83298429776422
79373,794134747,49.3357393,3441,1904,0,2855,1705,142,-0.836317626527051,-0.013246073298429,0,0.836422519363071
79374,794144747,49.3367039,3530,1828,0,2901,1635,142,-0.682984293193717,-0.246579406631762,0,0.726132872499375
79375,794154747,49.3514178,3062,1391,0,2663,1296,142,-1.47631762652705,-1.37657940663176,0,2.01853526032049
79376,794164747,49.3683195,3379,1802,0,2818,1619,142,-0.959650959860384,-0.299912739965096,0,1.00542409775891
79377,794174747,49.3690493,2986,1818,0,2571,1630,142,-1.78298429319372,-0.263246073298429,0,1.80231281549085
79378,794184746,49.3822885,3211,1855,0,2729,1671,142,-1.25631762652705,-0.126579406631762,0,1.26267823490619
79379,794194746,49.3973482,3248,1909,0,2735,1703,142,-1.23631762652705,-0.0199127399650956,0,1.23647797832165
79380,794204747,49.3980681,3202,2064,0,2704,1835,142,-1.33965095986038,0.420087260034904,0,1.40397222205373
79381,794214747,49.5035188,3395,1804,0,2832,1623,142,-0.912984293193717,-0.286579406631762,0,0.956905468645594
79382,794224746,49.5044346,3489,1535,0,2870,1402,142,-0.786317626527051,-1.02324607329843,0,1.29047585653812
79383,794234746,49.5053906,3373,1874,0,2815,1682,142,-0.969650959860384,-0.0899127399650956,0,0.973810702737547
79384,794244746,49.5059419,3554,1792,0,2910,1619,142,-0.652984293193717,-0.299912739965096,0,0.718565333669159
79385,794254746,49.5063437,3490,1867,0,2875,1676,142,-0.769650959860384,-0.109912739965096,0,0.777459587644686
79386,794264747,49.5067663,3461,1936,0,2866,1721,142,-0.799650959860384,0.0400872600349044,0,0.800655135512625
79387,794274747,49.5071746,3458,1659,0,2858,1513,142,-0.826317626527051,-0.653246073298429,0,1.05334289392824
79388,794284747,49.5075701,3482,1870,0,2873,1677,142,-0.776317626527051,-0.106579406631762,0,0.783599532398133
79389,794294746,49.5079684,3474,1838,0,2867,1653,142,-0.796317626527051,-0.186579406631762,0,0.817883633102372
79390,794304746,49.5086219,3442,1808,0,2848,1630,142,-0.859650959860384,-0.263246073298429,0,0.899054096201069
79391,794314746,49.5225759,3446,1826,0,2851,1634,142,-0.849650959860384,-0.249912739965096,0,0.885642778544788
79392,794324747,49.5234003,3450,1840,0,2858,1651,142,-0.826317626527051,-0.193246073298429,0,0.848613495505793
79393,794334747,49.5374474,3445,1830,0,2856,1656,142,-0.832984293193717,-0.176579406631762,0,0.851494638593727
79394,794344746,49.5386936,3462,1855,0,2859,1666,142,-0.822984293193717,-0.143246073298429,0,0.835357758304178
79395,794354747,49.5554063,3457,1858,0,2859,1671,142,-0.822984293193717,-0.126579406631762,0,0.832661691821361
79396,794364747,49.5693108,3446,1863,0,2853,1676,142,-0.842984293193717,-0.109912739965096,0,0.850119596867374
79397,794374746,49.5702102,3419,1872,0,2842,1674,142,-0.879650959860384,-0.116579406631762,0,0.887342419381553
79398,794384747,49.5838399,3431,1876,0,2841,1681,142,-0.882984293193717,-0.093246073298429,0,0.887894189761587
79399,794394746,49.5990107,3408,1882,0,2834,1690,142,-0.906317626527051,-0.063246073298429,0,0.908521714622879
79400,794404747,49.5996244,3404,1897,0,2830,1695,142,-0.919650959860384,-0.0465794066317623,0,0.920829804629657
79401,794414747,49.7106774,3450,1905,0,2856,1707,142,-0.832984293193717,-0.00657940663176229,0,0.833010276826801
79402,794424746,49.7117946,3467,1921,0,2864,1715,142,-0.806317626527051,0.0200872600349044,0,0.806567798057873
79403,794434747,49.7126282,3447,1921,0,2855,1722,142,-0.836317626527051,0.0434205933682377,0,0.837444040141363
79404,794444746,49.7133282,3451,1921,0,2859,1713,142,-0.822984293193717,0.0134205933682377,0,0.823093712264842
79405,794454747,49.7139757,3435,1917,0,2850,1718,142,-0.852984293193717,0.0300872600349044,0,0.853514761238254
79406,794464746,49.7146778,3446,1923,0,2852,1724,142,-0.846317626527051,0.0500872600349044,0,0.847798477580719
79407,794474747,49.7154148,3431,1923,0,2851,1718,142,-0.849650959860384,0.0300872600349044,0,0.850183507725291
79408,794484747,49.7164352,3445,1922,0,2851,1719,142,-0.849650959860384,0.0334205933682377,0,0.850307996935673
79409,794494747,49.7176139,3442,1914,0,2852,1711,142,-0.846317626527051,0.00675392670157104,0,0.846344575510631
79410,794504747,49.7187436,3386,1898,0,2818,1701,142,-0.959650959860384,-0.0265794066317623,0,0.9600189735718
79411,794514747,49.7196087,3427,1872,0,2845,1676,142,-0.869650959860384,-0.109912739965096,0,0.876569222818553
79412,794524746,49.7242709,2384,924,0,2086,905,142,-3.39965095986038,-2.6799127399651,0,4.32892122158707
79413,794534746,49.7385618,2762,1669,0,2415,1509,142,-2.30298429319372,-0.666579406631762,0,2.39751220227187
79414,794544746,49.7394888,2832,1791,0,2472,1609,142,-2.11298429319372,-0.333246073298429,0,2.13910157978815
79415,794554746,49.7553433,2859,1814,0,2483,1627,142,-2.07631762652705,-0.273246073298429,0,2.0942202135401
79416,794564746,49.7702837,2878,1828,0,2504,1648,142,-2.00631762652705,-0.203246073298429,0,2.01658607176197
79417,794574747,49.77141,3296,2003,0,2766,1778,142,-1.13298429319372,0.230087260034904,0,1.15611139422377
79418,794584745,49.7861325,3332,1926,0,2790,1719,142,-1.05298429319372,0.0334205933682377,0,1.05351452660785
79419,794594746,49.7869284,3394,1806,0,2832,1618,142,-0.912984293193717,-0.303246073298429,0,0.962028326292603
79420,794604746,49.801086,3179,1631,0,2693,1486,142,-1.37631762652705,-0.743246073298429,0,1.56418187387611
79421,794614746,49.903594,3361,1797,0,2813,1611,142,-0.976317626527051,-0.326579406631762,0,1.02949027032963
79422,794624746,49.9044641,3453,1870,0,2855,1676,142,-0.836317626527051,-0.109912739965096,0,0.843509325879966
79423,794634746,49.9052366,3376,1872,0,2810,1680,142,-0.986317626527051,-0.0965794066317623,0,0.991034833990863
79424,794644747,49.9058364,3349,1895,0,2801,1695,142,-1.01631762652705,-0.0465794066317623,0,1.01738446966314
79425,794654746,49.9062537,3340,1701,0,2796,1543,142,-1.03298429319372,-0.553246073298429,0,1.17180961235392
79426,794664746,49.906667,3393,1872,0,2824,1675,142,-0.939650959860384,-0.113246073298429,0,0.946450526696485
79427,794674746,49.9070876,3393,1847,0,2815,1663,142,-0.969650959860384,-0.153246073298429,0,0.98168596961531
79428,794684747,49.9075453,3352,1823,0,2799,1632,142,-1.02298429319372,-0.256579406631762,0,1.05467049642462
79429,794694747,49.9080227,3361,1815,0,2806,1638,142,-0.999650959860384,-0.236579406631762,0,1.02726425869492
79430,794704747,49.9084661,3367,1862,0,2811,1674,142,-0.982984293193717,-0.116579406631762,0,0.989873162943701
79431,794714747,49.9117859,3379,1849,0,2819,1661,142,-0.956317626527051,-0.159912739965096,0,0.969595527634836
79432,794724746,49.927595,3383,1858,0,2823,1669,142,-0.942984293193717,-0.133246073298429,0,0.952351769704611
79433,794734746,49.9283271,3369,1866,0,2815,1666,142,-0.969650959860384,-0.143246073298429,0,0.9801746892639
79434,794744746,49.9443194,3374,1862,0,2809,1672,142,-0.989650959860384,-0.123246073298429,0,0.997295651718216
79435,794754746,49.9581304,3353,1877,0,2806,1676,142,-0.999650959860384,-0.109912739965096,0,1.00567532134204
79436,794764747,49.9597944,3392,1885,0,2822,1685,142,-0.946317626527051,-0.0799127399650956,0,0.949685788187082
79437,794774747,49.9748024,3387,1893,0,2822,1696,142,-0.946317626527051,-0.043246073298429,0,0.947305269240873
79438,794784747,49.9897784,3359,1904,0,2812,1711,142,-0.979650959860384,0.00675392670157104,0,0.979674241103267
79439,794794746,49.991295,3361,1904,0,2809,1705,142,-0.989650959860384,-0.013246073298429,0,0.989739602527052
79440,794804747,50.0055045,3389,1907,0,2821,1711,142,-0.949650959860384,0.00675392670157104,0,0.949674976552314
