window_id,t_start_s,t_end_s,n_samples,rms_x,rms_y,rms_z,std_x,std_y,std_z,ptp_x,ptp_y,ptp_z,norm_rms,norm_mean_abs,jerk_rms,motion_threshold,is_motion
117,28.999237,29.989237,100,5.24064484910835,5.00263577000909,4.61473933755732,5.1766765205081,4.98762103977073,4.5201680490795,41,40,31,8.5899093263817,7.15537025233946,1236.31962024344,10.5746734583437,0
118,29.249237,30.239237,100,5.46080346199182,5.05732420793888,5.13602330633165,5.43107407945847,5.05249213435081,5.06439342943267,41,40,35,9.04298833339335,7.41126167537557,1289.1540648268,10.5746734583437,0
119,29.499237,30.489237,100,5.72016792269089,4.84410779501484,5.63223449439433,5.57751619170101,4.8423531302853,5.619985980787,36,40,45,9.37591418440626,7.53133887599726,1331.20851259102,10.5746734583437,0
120,29.749237,30.739237,100,5.17831934990139,4.30190205731192,5.78334422327171,5.02534987977369,4.32352035762853,5.69568328480509,36,22,43,8.87515763269126,7.37696374815177,1214.01535233786,10.5746734583437,0
121,29.999237,30.989237,100,5.40552015708613,3.89730512918826,5.56633189079642,5.23178900201606,3.87460001193998,5.44833400539499,36,18,43,8.6828961848659,7.1597683239199,1180.00842414555,10.5746734583437,0
122,30.249238,31.239237,100,4.72387460561382,4.06945476423299,6.22417949705208,4.55067982489286,4.06357309059727,5.99019400707726,29,16,44,8.80998659358941,7.32012683693279,1170.25652061351,10.5746734583437,0
123,30.499237,31.489237,100,3.85370046910488,4.76869605638047,5.60188668833227,3.69137679277836,4.77022541449044,5.47555633444833,23,28,46,8.30497464491205,7.08841714911038,1053.322536594,10.5746734583437,0
124,30.749237,31.739237,100,4.15841072877294,5.43885276525567,5.55967504935614,4.11506225636228,5.41382442913464,5.47445860060125,33,45,48,8.81949464797934,7.28382953744727,1124.87611114023,10.5746734583437,0
125,30.999237,31.989237,100,3.54575894309439,5.42243097762442,5.43861457814779,3.53773310971243,5.42045322194677,5.34596987827222,26,45,48,8.45894158386712,6.96099167559039,1127.47570174169,10.5746734583437,0
126,31.249237,32.239237,100,4.94675527969414,5.3278545698099,5.0125754438571,4.9303328303657,5.35158807733695,5.03782661171431,41,45,30,8.83076070871503,7.32234587554803,1186.54087055057,10.5746734583437,0
127,31.499237,32.489237,100,5.2195509608326,4.9678440418171,5.53219563310703,5.19334266930347,4.9850179578818,5.53789516226904,41,36,46,9.08451293022992,7.49583932793007,1268.58187055438,10.5746734583437,0
128,31.749237,32.739237,100,5.55820764209907,4.82640955354728,6.40221146527445,5.45742011791601,4.8481069928521,6.42674336682509,46,37,55,9.75582969394979,7.8050387753417,1355.57507364369,10.5746734583437,0
129,31.999237,32.989237,100,5.97787514837531,5.02238914018046,6.66671471462506,5.85356664130874,5.04199535617767,6.67631877034286,46,37,55,10.2666678650458,8.29305424566104,1455.71431452517,10.5746734583437,0
130,32.249237,33.239237,100,5.04642220982726,5.06661842240945,6.30902875607308,5.01451428708241,5.08696095101699,6.18191399212741,37,37,55,9.53629085143137,7.63165520407959,1364.11518004468,10.5746734583437,0
131,32.499237,33.489237,100,5.20599588319602,4.91242678177294,5.58760604753543,5.20002913744751,4.92452120422982,5.49264889822679,37,37,45,9.0805105233455,7.34088550312091,1294.35406577325,10.5746734583437,0
132,32.749237,33.739237,100,5.28321932939888,4.18417801107404,4.85570879573941,5.29249516301197,4.20250045818083,4.62365459546687,33,22,31,8.30648301147425,6.99027170936991,1195.61430175645,10.5746734583437,0
133,32.999237,33.989237,100,4.91911945949197,4.15315064455129,4.83424070745997,4.92160768674447,4.10882273192994,4.71073349925573,33,27,32,8.05085583964539,6.84219736975484,1126.8968216444,10.5746734583437,0
134,33.249237,34.239237,100,5.50555059786569,4.22414705801792,4.60550873539764,5.52679423766206,3.98323506915693,4.58609008003792,46,24,32,8.32857829795966,6.93548399588004,1166.36989521766,10.5746734583437,0
135,33.499237,34.489237,100,5.29059679909005,4.71587543274391,5.44209883907116,5.30647593688004,4.64422091192784,5.43464382782842,46,35,52,8.9356776666305,7.33491045342012,1287.0443027577,10.5746734583437,0
136,33.749237,34.739237,100,5.0175463085178,5.2759094163531,4.94279555471137,5.04223575550979,5.16550329033137,4.96008308825812,42,40,39,8.80012607996944,7.23930193307175,1265.87578463036,10.5746734583437,0
137,33.999237,34.989237,100,5.4179152503051,5.06904496260324,5.29443302178187,5.43609336850565,5.06095172109282,5.30484817326699,42,40,49,9.1148254791036,7.34380729461315,1336.52193290496,10.5746734583437,0
138,34.249237,35.239237,100,4.87070757824863,5.26741941783487,5.14109075475176,4.89249063836249,5.28281949513532,5.13695267919443,28,40,49,8.82611544139246,7.28075857680011,1331.28872266201,10.5746734583437,0
139,34.499237,35.489237,100,5.11668393889851,4.80878321533343,4.47109726038519,5.14119822530888,4.81856678469707,4.44970774207689,34,35,32,8.32439554889593,6.93825159244608,1201.97873244145,10.5746734583437,0
140,34.749237,35.739237,100,5.11805417659934,4.05876522987617,4.59988502864171,5.12938651893246,4.07598287087132,4.54277092497164,34,21,29,7.98917993429738,6.83581634924797,1170.16877205601,10.5746734583437,0
141,34.999237,35.989237,100,4.56068068700546,4.08465371997095,4.22129790749274,4.5706463526298,4.08821909314256,4.20322146776383,34,21,28,7.43663636092957,6.54665542320448,1118.07292102617,10.5746734583437,0
142,35.249237,36.239237,100,4.51934049553316,3.69010232078529,5.2292429327225,4.54161453959521,3.68776300209164,5.21687239404584,34,21,41,7.83493939363025,6.57945068098179,1148.20707265402,10.5746734583437,0
143,35.499238,36.489237,100,4.76106601544576,3.91685759116283,5.39222861754853,4.77445856045003,3.91263170624158,5.35581436149046,35,22,41,8.19058315730888,6.88246084522657,1205.96488406295,10.5746734583437,0
144,35.749237,36.739237,100,4.25382392476736,4.60254440837799,5.56225991870048,4.14382831827202,4.54588280810785,5.50037647930952,31,26,41,8.37956851020365,6.99724121323945,1213.68755573187,10.5746734583437,0
145,35.999237,36.989237,100,5.14959763138343,4.71417172269864,5.6537215975274,5.07768936554111,4.65999523128034,5.60753461375358,40,26,42,8.98367066953087,7.483129651841,1261.99536012612,10.5746734583437,0
146,36.249237,37.239237,100,5.06284041777082,4.88491835927384,4.91784388965006,4.98263651761461,4.90824908607021,4.91766553797982,40,35,30,8.58370368754379,7.35501518971552,1165.75700666343,10.5746734583437,0
147,36.499237,37.489237,100,4.88634735426349,4.95005872329726,4.66721468265669,4.87297225375423,4.97058011369565,4.68933886490399,34,35,29,8.37629779345358,7.1594108897671,1147.37010745691,10.5746734583437,0
148,36.749237,37.739236,100,5.37981348522919,4.80960052463825,5.65842596949286,5.37576867888574,4.72200950204187,5.67912178443324,36,31,53,9.17019273487126,7.58052931792378,1264.23151998644,10.5746734583437,0
149,36.999237,37.989237,100,4.82959673639975,4.66132988309198,5.99165029083417,4.70257827412181,4.61900990746421,6.01764241227577,29,31,53,8.9973815148021,7.37080017962434,1260.34955180625,10.5746734583437,0
150,37.249237,38.239237,100,5.40170428215669,4.64441839612872,6.70666504484924,5.4142628698875,4.66216232833624,6.71575864228414,36,32,60,9.78408848150768,7.93207309151982,1360.77728920944,10.5746734583437,0
151,37.499237,38.489237,100,5.38204705540168,4.65904371136018,7.92914442625714,5.40686992854853,4.68044502761924,7.96646379860886,36,29,60,10.6557238207157,8.45884902609355,1446.55536580508,10.5746734583437,1
