seq,t_us,time_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z,mv_x_centered,mv_y_centered,mv_z_centered,mv_norm,mv_norm_centered
6586,66199300,65.859237,1949,1721,1456,1743,1553,1332,0.0666221777332794,-1.81147814481142,-3.21354688021347,2687.76524272489,3.68954944878437
6587,66209300,65.869237,1951,1724,1455,1741,1558,1335,-1.93337782226672,3.18852185518858,-0.213546880213471,2690.84930830398,3.73499982526063
6588,66219300,65.879237,1950,1725,1446,1746,1561,1342,3.06662217773328,6.18852185518858,6.78645311978653,2699.29638980235,9.6828673583899
6589,66229300,65.889237,1957,1723,1451,1750,1548,1333,7.06662217773328,-6.81147814481142,-2.21354688021347,2689.92434837859,10.0614697391076
6590,66239300,65.899237,1950,1715,1434,1741,1553,1335,-1.93337782226672,-1.81147814481142,-0.213546880213471,2687.95740293629,2.65800773941897
6591,66249300,65.909237,1951,1712,1454,1737,1549,1334,-5.93337782226672,-5.81147814481142,-1.21354688021347,2682.55959859236,8.39350621849196
6592,66259300,65.919237,1937,1746,1453,1744,1555,1337,1.06662217773328,0.188521855188583,1.78645311978653,2692.049405193,2.08917163227707
6593,66269300,65.929237,1947,1719,1455,1741,1553,1337,-1.93337782226672,-1.81147814481142,1.78645311978653,2688.95128256352,3.19543700015463
6594,66279300,65.939237,1950,1719,1442,1744,1558,1330,1.06662217773328,3.18852185518858,-5.21354688021347,2690.31596657344,6.20366227024258
6595,66289300,65.949237,1945,1717,1456,1744,1559,1337,1.06662217773328,4.18852185518858,1.78645311978653,2694.36189106066,4.67683792220982
6596,66299300,65.959237,1952,1717,1454,1742,1550,1337,-0.933377822266721,-4.81147814481142,1.78645311978653,2687.86774228197,5.21660146515836
6597,66309300,65.969237,1950,1699,1453,1742,1562,1337,-0.933377822266721,7.18852185518858,1.78645311978653,2694.80555884836,7.46575216376879
6598,66319300,65.979237,1952,1715,1456,1723,1557,1332,-19.9333778222667,2.18852185518858,-3.21354688021347,2677.16305069377,20.3090143253483
6599,66329300,65.989237,1950,1722,1454,1742,1556,1326,-0.933377822266721,1.18852185518858,-9.21354688021347,2685.88458426642,9.33666024193082
6600,66339300,65.999237,1950,1724,1454,1749,1552,1337,6.06662217773328,-2.81147814481142,1.78645311978653,2693.56158273762,6.92096299334945
6601,66349301,66.009238,1951,1725,1459,1742,1553,1333,-0.933377822266721,-1.81147814481142,-2.21354688021347,2687.61269531158,3.00872681031887
6602,66359300,66.019237,1947,1723,1467,1746,1558,1335,3.06662217773328,3.18852185518858,-0.213546880213471,2694.08704387961,4.42904566154265
6603,66369300,66.029237,1953,1722,1455,1744,1553,1334,1.06662217773328,-1.81147814481142,-1.21354688021347,2689.40532460245,2.42730961552863
6604,66379300,66.039237,1946,1715,1450,1742,1549,1369,-0.933377822266721,-5.81147814481142,33.7864531197865,2703.35458273605,34.2953187301453
6605,66389300,66.049237,1945,1727,1466,1742,1557,1340,-0.933377822266721,2.18852185518858,4.78645311978653,2693.4017524313,5.3451805898072
6606,66399300,66.059237,1947,1715,1453,1745,1556,1346,2.06662217773328,1.18852185518858,10.7864531197865,2697.75406588518,11.0467679585982
6607,66409300,66.069237,1941,1725,1456,1734,1557,1337,-8.93337782226672,2.18852185518858,1.78645311978653,2686.74040428174,9.36943338602714
6608,66419300,66.079237,1947,1724,1470,1746,1554,1337,3.06662217773328,-0.811478144811417,1.78645311978653,2692.76827818511,3.64061575968506
6609,66429300,66.089237,1951,1729,1461,1739,1574,1337,-3.93337782226672,19.1885218551886,1.78645311978653,2699.84555113806,19.6688140676794
6610,66439300,66.099237,1968,1726,1446,1741,1555,1337,-1.93337782226672,0.188521855188583,1.78645311978653,2690.10687520031,2.63911065374523
6611,66449300,66.109237,1947,1731,1454,1746,1550,1337,3.06662217773328,-4.81147814481142,1.78645311978653,2690.46185626186,5.97878819395357
6612,66459300,66.119237,1949,1718,1454,1737,1556,1333,-5.93337782226672,1.18852185518858,-2.21354688021347,2686.11131563828,6.44339556235144
6613,66469300,66.129237,1956,1723,1461,1741,1553,1334,-1.93337782226672,-1.81147814481142,-1.21354688021347,2687.46088343626,2.91412060547227
6614,66479300,66.139237,1949,1719,1460,1745,1557,1329,2.06662217773328,2.18852185518858,-6.21354688021347,2689.89126174275,6.90425375900594
6615,66489300,66.149237,1941,1722,1455,1742,1559,1342,-0.933377822266721,4.18852185518858,6.78645311978653,2695.55356095923,8.02937453588709
6616,66499300,66.159237,1949,1725,1443,1741,1552,1350,-1.93337782226672,-2.81147814481142,14.7864531197865,2694.86270522266,15.1750306433308
6617,66509300,66.169237,1950,1719,1456,1736,1557,1337,-6.93337782226672,2.18852185518858,1.78645311978653,2688.03162183781,7.48683983307598
6618,66519300,66.179237,1955,1718,1445,1742,1551,1340,-0.933377822266721,-3.81147814481142,4.78645311978653,2689.93773162131,6.18940168961336
6619,66529300,66.189237,1950,1715,1451,1745,1548,1337,2.06662217773328,-6.81147814481142,1.78645311978653,2688.66100503578,7.33884026886658
6620,66539300,66.199237,1947,1719,1459,1739,1553,1337,-3.93337782226672,-1.81147814481142,1.78645311978653,2687.6567861243,4.68447744268495
6621,66549300,66.209237,1943,1725,1445,1737,1550,1337,-5.93337782226672,-4.81147814481142,1.78645311978653,2684.62995587846,7.84517106690221
