sensor_id,seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
1,182912,1829535301,6.5597773,1838,1731,1191,1653,1566,1125
2,182849,1828905531,6.5742668,2000,1893,2278,1723,1642,1943
2,182850,1828915531,6.5749885,2000,1898,2283,1723,1644,1943
1,182913,1829545302,6.5756731,1837,1741,1194,1653,1571,1121
1,182914,1829555301,6.639099,1840,1737,1197,1648,1566,1123
2,182851,1828925530,6.6402667,1997,1897,2279,1721,1638,1943
2,182852,1828935529,6.6410057,1999,1899,2275,1720,1637,1943
1,182915,1829565301,6.6416148,1840,1728,1193,1653,1566,1123
2,182853,1828945530,6.6421772,1997,1898,2281,1723,1642,1941
1,182917,1829585301,6.6427082,1839,1735,1194,1653,1568,1123
2,182854,1828955532,6.6432461,2000,1896,2275,1723,1643,1944
2,182855,1828965532,6.6438174,1997,1902,2278,1723,1644,1949
2,182856,1828975530,6.6443995,1999,1894,2278,1723,1641,1945
1,182919,1829605301,6.6449823,1840,1734,1195,1652,1570,1123
2,182857,1828985531,6.645602,2001,1895,2282,1723,1641,1946
1,182920,1829615301,6.6527525,1840,1730,1191,1652,1565,1121
2,182858,1828995532,6.6538755,1999,1890,2283,1723,1641,1941
1,182921,1829625301,6.6546608,1840,1743,1196,1652,1561,1120
1,182922,1829635300,6.6687234,1840,1738,1195,1650,1566,1125
1,182923,1829645301,6.6848627,1837,1734,1198,1653,1566,1123
2,182859,1829005531,6.6861236,2000,1900,2285,1723,1639,1945
2,182860,1829015531,6.6886832,2001,1900,2281,1723,1644,1945
2,182861,1829025533,6.6997102,2000,1895,2279,1723,1643,1948
1,182924,1829655301,6.7017391,1840,1728,1193,1652,1568,1121
2,182862,1829035531,6.7035703,2000,1895,2283,1734,1644,1945
1,182925,1829665301,6.7056941,1840,1739,1197,1652,1562,1125
2,182863,1829045531,6.7158412,1997,1897,2283,1723,1643,1945
1,182926,1829675301,6.7173153,1842,1739,1196,1653,1563,1123
1,182927,1829685301,6.7189056,1844,1735,1196,1653,1562,1125
1,182928,1829695301,6.7305556,1839,1740,1195,1653,1569,1121
2,182865,1829065532,6.7310522,2001,1900,2281,1722,1643,1941
2,182866,1829075533,6.7314566,2000,1898,2279,1723,1641,1941
1,182929,1829705301,6.7459825,1838,1740,1195,1653,1570,1121
2,182867,1829085530,6.7468393,2000,1899,2277,1723,1645,1945
1,182930,1829715301,6.7478434,1839,1740,1193,1652,1564,1117
2,182868,1829095531,6.7615041,2000,1899,2284,1723,1637,1946
1,182931,1829725302,6.7624525,1840,1737,1193,1655,1566,1121
2,182869,1829105531,6.7632545,2000,1898,2279,1722,1640,1942
1,182932,1829735301,6.7640149,1839,1735,1189,1654,1568,1124
2,182870,1829115532,6.7771903,2000,1901,2278,1723,1640,1946
1,182933,1829745301,6.7781529,1839,1741,1195,1653,1570,1126
2,182871,1829125530,6.7788356,2000,1898,2281,1723,1645,1946
1,182934,1829755301,6.7928392,1840,1732,1195,1653,1566,1127
2,182872,1829135532,6.7936933,2000,1897,2277,1723,1641,1949
1,182935,1829765301,6.7946774,1837,1731,1189,1653,1566,1117
2,182873,1829145530,6.7959094,2000,1902,2282,1721,1639,1942
1,182936,1829775300,6.8506702,1839,1738,1194,1652,1569,1126
2,182874,1829155531,6.8516161,1997,1899,2283,1723,1642,1945
1,182937,1829785301,6.8525635,1839,1733,1195,1653,1562,1125
2,182875,1829165529,6.8533434,2000,1895,2278,1722,1641,1943
1,182938,1829795301,6.8543333,1840,1732,1195,1653,1568,1123
2,182876,1829175530,6.8552629,2000,1891,2277,1723,1638,1947
1,182939,1829805301,6.8559383,1841,1734,1193,1653,1565,1123
2,182877,1829185530,6.8565815,2000,1903,2286,1723,1643,1943
1,182940,1829815301,6.8572339,1840,1731,1191,1653,1562,1123
2,182878,1829195531,6.8584249,2001,1895,2283,1723,1642,1943
1,182941,1829825301,6.8592505,1837,1738,1194,1653,1569,1118
2,182879,1829205532,6.8600957,2001,1895,2285,1723,1643,1943
