seq,t_us,wall_s,raw_x,raw_y,raw_z,mv_x,mv_y,mv_z
74663,747034746,2.2470699,3887,1895,0,3064,1700,142
74664,747044746,2.2508036,3888,1894,0,3064,1704,142
74665,747054747,2.2517427,3888,1893,0,3056,1701,142
74667,747074746,2.4522756,3971,1905,0,3101,1705,142
74668,747084747,2.4536205,3979,1909,0,3099,1705,142
74669,747094746,2.4547577,3975,1910,0,3102,1710,142
74670,747104747,2.4560373,3973,1911,0,3098,1705,142
74671,747114747,2.4574076,3986,1904,0,3103,1705,142
74672,747124746,2.458848,3983,1905,0,3099,1705,142
74674,747144746,2.4601392,3981,1906,0,3100,1705,142
74675,747154747,2.4615674,3984,1908,0,3105,1706,142
74676,747164747,2.4629613,3984,1911,0,3101,1706,142
74677,747174747,2.463939,3974,1910,0,3103,1713,142
74678,747184747,2.4648539,3984,1904,0,3106,1708,142
74679,747194747,2.4657621,3977,1904,0,3101,1713,142
74680,747204747,2.4668078,3983,1909,0,3101,1708,142
74681,747214747,2.4681615,3984,1905,0,3100,1707,142
74682,747224747,2.4696687,3982,1906,0,3105,1709,142
74683,747234746,2.4710506,3980,1905,0,3102,1705,142
74684,747244747,2.47184,3967,1906,0,3103,1706,142
74685,747254747,2.4727828,3971,1908,0,3102,1704,142
74686,747264747,2.4733492,3972,1908,0,3101,1708,142
74687,747274747,2.4738688,3967,1908,0,3103,1705,142
74688,747284746,2.625115,3984,1904,0,3101,1705,142
74689,747294746,2.6264362,3970,1904,0,3105,1705,142
74690,747304747,2.6274526,3983,1910,0,3101,1705,142
74691,747314747,2.6284758,3974,1904,0,3103,1709,142
74692,747324746,2.6294319,3981,1904,0,3097,1708,142
74693,747334747,2.6303105,3981,1902,0,3102,1707,142
74694,747344746,2.6312338,3978,1909,0,3101,1707,142
74695,747354747,2.6321382,3966,1906,0,3098,1706,142
74696,747364747,2.6330663,3965,1904,0,3102,1707,142
74697,747374746,2.6339804,3972,1903,0,3098,1708,142
74698,747384746,2.6349877,3971,1904,0,3097,1709,142
74700,747404746,2.6356426,3979,1905,0,3097,1708,142
74701,747414746,2.6362938,3977,1910,0,3101,1711,142
74702,747424746,2.6373774,3959,1909,0,3099,1711,142
74703,747434746,2.6381192,3975,1906,0,3095,1705,142
74704,747444746,2.6418914,3970,1904,0,3099,1708,142
74705,747454746,2.6570143,3955,1914,0,3099,1707,142
74706,747464746,2.6585319,3957,1904,0,3090,1702,142
74707,747474746,2.6744485,3967,1907,0,3093,1705,142
74708,747484747,2.7846824,3909,1904,0,3076,1704,142
74709,747494746,2.7859265,3886,1898,0,3063,1696,142
74710,747504746,2.7867926,3886,1899,0,3059,1704,142
74711,747514746,2.7875121,3893,1902,0,3062,1707,142
74712,747524747,2.7881319,3890,1902,0,3062,1700,142
74713,747534747,2.7886806,3883,1904,0,3060,1699,142
74715,747554746,2.7891819,3889,1899,0,3062,1701,142
74716,747564747,2.7896866,3838,1898,0,3039,1697,142
74717,747574747,2.7901478,3769,1851,0,3012,1667,142
74718,747584747,2.7906248,3824,1899,0,3042,1694,142
74719,747594747,2.7985289,3847,1894,0,3046,1695,142
74720,747604746,2.8125982,3855,1897,0,3043,1704,142
74721,747614747,2.8134491,3827,1891,0,3036,1698,142
74722,747624747,2.8287187,3826,1889,0,3039,1700,142
74723,747634746,2.8296332,3823,1888,0,3038,1694,142
74724,747644747,2.8451609,3826,1891,0,3030,1699,142
74725,747654747,2.8592406,3819,1889,0,3035,1694,142
74726,747664746,2.8754031,3746,1889,0,3004,1690,142
74727,747674746,2.8762501,3729,1874,0,2991,1688,142
74728,747684747,2.9765334,3739,1889,0,2995,1688,142
74730,747704747,2.9772652,3411,1874,0,2824,1672,142
74731,747714746,2.9780203,3913,1904,0,3082,1704,142
74732,747724746,2.9788047,3913,1901,0,3076,1706,142
74733,747734746,2.9793089,3930,1903,0,3078,1705,142
74734,747744746,2.9796942,3927,1901,0,3076,1701,142
74735,747754747,2.9800895,3927,1904,0,3078,1704,142
74737,747774746,2.9805318,3920,1904,0,3077,1703,142
74740,747804747,2.9998137,3934,1904,0,3078,1705,142
74741,747814747,3.0160955,3931,1904,0,3076,1705,142
74742,747824747,3.0323355,3925,1904,0,3081,1700,142
74743,747834746,3.0329307,3934,1904,0,3081,1703,142
74744,747844747,3.04722,3931,1907,0,3083,1705,142
74746,747864746,3.0634686,3893,1903,0,3070,1704,142
74747,747874747,3.0780158,3899,1904,0,3072,1702,142
74748,747884746,3.0785584,3907,1906,0,3071,1705,142
74749,747894746,3.1783922,3902,1904,0,3068,1704,142
74750,747904747,3.179071,3905,1901,0,3070,1700,142
74751,747914747,3.1797575,3905,1897,0,3070,1706,142
74752,747924747,3.1805303,3906,1903,0,3069,1705,142
74753,747934747,3.1812574,3895,1903,0,3071,1701,142
74754,747944747,3.1819095,3922,1901,0,3071,1703,142
74756,747964747,3.1823781,3903,1904,0,3070,1705,142
74757,747974747,3.1827992,3911,1903,0,3070,1703,142
74758,747984747,3.1885319,3910,1897,0,3072,1705,142
74759,747994747,3.1892065,3907,1904,0,3069,1705,142
74760,748004746,3.2036824,3918,1903,0,3071,1703,142
74761,748014746,3.2179905,3904,1902,0,3072,1705,142
74762,748024747,3.2191621,3912,1897,0,3074,1703,142
74763,748034747,3.2347793,3926,1903,0,3076,1705,142
74764,748044747,3.2497789,3935,1906,0,3082,1707,142
74765,748054746,3.2504409,3934,1901,0,3081,1704,142
74766,748064747,3.2657127,3926,1902,0,3080,1708,142
74767,748074747,3.2815845,3965,1904,0,3096,1705,142
74768,748084746,3.2822225,3963,1904,0,3091,1706,142
74769,748094746,3.38239,3971,1909,0,3096,1705,142
74771,748114746,3.3831514,3967,1906,0,3093,1704,142
74772,748124747,3.3842916,3965,1904,0,3098,1705,142
74773,748134747,3.3854586,3965,1899,0,3099,1706,142
74774,748144746,3.386103,3983,1905,0,3098,1702,142
74775,748154747,3.3865068,3973,1907,0,3098,1707,142
74776,748164747,3.3869034,3970,1904,0,3097,1704,142
74777,748174747,3.3873057,3974,1915,0,3103,1706,142
74778,748184747,3.3891313,3970,1904,0,3090,1710,142
74779,748194747,3.3898498,3965,1904,0,3097,1705,142
74780,748204746,3.4058642,3959,1909,0,3098,1706,142
74781,748214746,3.4070338,3977,1903,0,3096,1705,142
74782,748224746,3.4209097,3972,1910,0,3097,1702,142
74784,748244746,3.4375228,3967,1910,0,3101,1710,142
74785,748254746,3.4522878,3985,1914,0,3098,1709,142
74786,748264747,3.4681297,3974,1908,0,3102,1705,142
74788,748284746,3.483203,3964,1904,0,3105,1702,142
74790,748304747,3.5866965,3973,1905,0,3101,1704,142
74791,748314746,3.5875027,3974,1907,0,3103,1709,142
74792,748324746,3.5881895,3978,1910,0,3098,1710,142
74794,748344747,3.5887534,3983,1903,0,3098,1708,142
74795,748354747,3.589152,3978,1903,0,3103,1705,142
74797,748374747,3.5895417,3968,1910,0,3103,1705,142
74798,748384747,3.5899312,3982,1911,0,3099,1708,142
74799,748394747,3.5935794,3980,1906,0,3101,1705,142
74800,748404747,3.6079675,3969,1908,0,3101,1705,142
74801,748414746,3.6087183,3971,1904,0,3101,1706,142
74802,748424746,3.6238443,3982,1907,0,3098,1707,142
74803,748434746,3.6396898,3968,1904,0,3099,1705,142
74804,748444747,3.6406891,3981,1908,0,3097,1705,142
74805,748454746,3.6572487,3977,1911,0,3101,1705,142
74806,748464747,3.6577485,3967,1906,0,3097,1708,142
74807,748474747,3.6706415,3973,1901,0,3101,1713,142
74809,748494747,3.6857326,3974,1906,0,3100,1706,142
74810,748504747,3.7876637,3984,1907,0,3099,1708,142
74812,748524746,3.7886149,3971,1907,0,3096,1708,142
74813,748534746,3.7893372,3970,1907,0,3098,1706,142
74814,748544747,3.7898611,3974,1907,0,3103,1705,142
74815,748554746,3.7904166,3979,1910,0,3099,1710,142
74816,748564747,3.7909293,3971,1908,0,3100,1705,142
74817,748574746,3.7914237,3978,1904,0,3101,1707,142
74818,748584746,3.7918682,3974,1905,0,3100,1709,142
74819,748594747,3.7950279,3984,1905,0,3096,1705,142
74820,748604747,3.8090965,3960,1909,0,3099,1705,142
74821,748614747,3.8098117,3978,1904,0,3096,1705,142
74822,748624747,3.8248972,3967,1911,0,3099,1705,142
74823,748634747,3.8392397,3963,1905,0,3097,1709,142
74824,748644746,3.8403718,3973,1905,0,3100,1705,142
74825,748654747,3.8562595,3969,1904,0,3093,1710,142
74826,748664747,3.8567226,3968,1904,0,3097,1705,142
74827,748674746,3.8715805,3966,1907,0,3097,1706,142
74828,748684746,3.8876171,3966,1906,0,3098,1704,142
74829,748694747,3.9025423,3961,1909,0,3098,1705,142
74830,748704746,3.9032316,3962,1905,0,3097,1704,142
74831,748714746,4.0207209,3975,1904,0,3093,1711,142
74832,748724747,4.0216758,3965,1904,0,3090,1704,142
74833,748734746,4.0225167,3955,1905,0,3094,1708,142
74834,748744747,4.0233842,3958,1906,0,3089,1709,142
74835,748754745,4.0239875,3957,1903,0,3097,1709,142
74836,748764746,4.0244219,3953,1910,0,3092,1705,142
74837,748774746,4.0248177,3952,1913,0,3091,1710,142
74838,748784746,4.0258583,3963,1901,0,3087,1710,142
74840,748804747,4.0265715,3956,1901,0,3091,1705,142
74841,748814746,4.0273239,3950,1901,0,3090,1705,142
74842,748824747,4.0280623,3955,1904,0,3090,1701,142
74843,748834747,4.0285799,3947,1902,0,3084,1704,142
74844,748844747,4.0429339,3952,1904,0,3086,1702,142
74845,748854746,4.0583327,3947,1905,0,3088,1706,142
74846,748864747,4.0593572,3948,1904,0,3086,1704,142
74847,748874747,4.0763554,3942,1907,0,3082,1703,142
74848,748884747,4.0887657,3941,1904,0,3087,1705,142
74850,748904746,4.1046091,3937,1905,0,3082,1705,142
74851,748914747,4.1198771,3927,1903,0,3081,1704,142
74852,748924746,4.1206444,3943,1903,0,3076,1701,142
74853,748934746,4.2490443,3931,1901,0,3081,1703,142
74854,748944747,4.2499368,3921,1908,0,3076,1703,142
74855,748954746,4.2506638,3920,1904,0,3075,1701,142
74856,748964746,4.2513762,3925,1895,0,3076,1705,142
74857,748974747,4.2521096,3923,1904,0,3078,1704,142
74858,748984746,4.2528867,3922,1901,0,3079,1705,142
74859,748994746,4.2536367,3909,1901,0,3073,1705,142
74860,749004747,4.2548758,3916,1900,0,3075,1705,142
74861,749014746,4.2559354,3902,1902,0,3069,1704,142
74862,749024747,4.256674,3890,1898,0,3064,1700,142
74863,749034747,4.2575466,3890,1899,0,3059,1700,142
74864,749044747,4.2583357,3872,1903,0,3059,1704,142
74865,749054746,4.2603121,3835,1899,0,3036,1701,142
74866,749064746,4.2613121,3728,1878,0,2989,1688,142
74867,749074746,4.2760998,3681,1872,0,2968,1688,142
74868,749084746,4.2770103,3791,1887,0,3023,1688,142
74869,749094747,4.2919477,3792,1893,0,3023,1691,142
74870,749104746,4.3074267,3833,1890,0,3035,1695,142
74871,749114747,4.3080566,3824,1901,0,3038,1695,142
74872,749124747,4.3231095,3809,1890,0,3025,1696,142
74873,749134746,4.4402797,3823,1891,0,3033,1696,142
74874,749144746,4.4413695,3829,1892,0,3035,1694,142
74875,749154747,4.4422471,3826,1891,0,3039,1698,142
74876,749164747,4.4429985,3837,1889,0,3036,1697,142
74879,749194746,4.4434962,3838,1889,0,3035,1699,142
74880,749204746,4.4438845,3846,1891,0,3040,1700,142
